VOC,JSC,FF,PCE,NOCount_D,NumAliphaticCarbocycles_D,NumAliphaticRings_D,NumAromaticCarbocycles_D,RingCount_D,fr_C_O_D,fr_NH0_D,fr_bicyclic_D,fr_ether_D,fr_halogen_D,fr_unbrch_alkane_D,NOCount_A,NumAliphaticCarbocycles_A,NumAliphaticRings_A,NumAromaticCarbocycles_A,NumAromaticHeterocycles_A,NumHAcceptors_A,NumHeteroatoms_A,NumRotatableBonds_A,fr_Ar_N_A,fr_C_O_A,fr_NH0_A,fr_allylic_oxid_A,fr_aryl_methyl_A,fr_bicyclic_A,fr_halogen_A,fr_ketone_A,fr_nitrile_A,fr_thiophene_A,fr_unbrch_alkane_A
0.78,17.46,64.6,8.8,2,0,0,1,7,1,0,3,1,1,0,6,3,3,2,4,10,10,18,0,2,4,6,0,5,0,2,4,4,8
0.824,18.97,56.02,8.78,2,0,0,1,6,0,2,1,0,2,20,12,4,4,4,4,14,22,6,2,2,6,6,2,12,4,2,4,2,0
0.84,17.68,59,8.76,2,0,0,1,9,0,2,2,0,0,4,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.72,18.94,63.3,8.7,2,1,1,1,10,2,0,4,0,0,0,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
1.04,13.15,62,8.65,2,1,1,1,10,2,0,4,0,2,0,18,0,0,19,6,18,18,54,6,0,6,0,0,15,0,0,0,0,12
1.21,11.36,62.86,8.64,3,0,0,2,9,0,3,3,0,4,6,14,2,2,9,6,18,18,46,8,0,12,0,6,8,0,0,4,2,16
0.95,12.7,71.5,8.6,4,0,0,0,4,2,0,0,2,1,12,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
0.89,15.4,62.71,8.59,3,2,2,2,11,0,3,3,0,2,6,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.91,15.2,62,8.58,3,0,0,2,9,0,3,3,0,2,16,6,4,4,7,4,8,10,40,0,2,4,6,4,8,0,2,4,2,8
0.91,13.2,72.6,8.58,4,0,0,0,4,2,0,0,2,1,12,6,4,4,3,2,8,10,22,0,2,4,6,0,8,2,2,4,2,8
1.04,13.41,62,8.58,4,0,0,1,5,1,0,3,3,1,0,28,0,12,12,0,20,28,68,0,16,12,0,0,0,0,0,0,0,32
0.79,17.9,58,8.47,2,0,0,1,7,1,0,3,1,1,0,23,0,7,20,5,20,28,46,1,14,8,0,0,12,0,0,0,4,0
0.95,12.48,69.7,8.42,2,1,1,1,12,2,0,8,0,0,8,12,0,0,10,6,12,14,37,4,0,4,0,0,2,0,0,0,0,8
0.98,13.71,62.39,8.41,2,0,0,1,7,1,0,3,1,1,0,8,2,4,5,4,10,14,30,0,4,4,0,4,10,0,0,0,4,8
0.82,17.7,58,8.4,2,0,0,1,7,1,0,3,1,0,0,8,4,4,7,4,12,12,42,0,2,4,6,4,8,0,2,4,4,8
0.911,16.25,56.5,8.37,3,0,0,2,7,0,3,3,0,2,6,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
1.02,11.94,68.1,8.28,2,1,1,1,12,2,0,8,0,0,8,24,0,0,21,16,32,32,94,8,0,8,0,0,6,0,0,0,8,32
0.96,15.2,56.5,8.2,2,1,1,1,10,2,0,4,0,2,0,10,2,2,3,7,15,15,34,4,2,8,6,2,16,0,2,4,4,14
0.91,14.66,60.9,8.13,2,1,1,1,10,2,0,4,0,0,0,12,2,2,7,6,18,18,30,6,0,10,0,4,8,0,0,4,2,8
0.87,15.72,59.58,8.13,3,0,0,2,9,0,3,3,0,2,12,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.91,12.8,69.8,8.11,2,0,0,2,9,0,2,3,0,2,20,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
0.8,14.97,65,8.11,2,0,0,1,7,1,0,3,1,1,0,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
